Name,Category,Website,Address,Suburb,Postcode,Telephone Phone,Latitude,Longitude
A J's Sports Centre,Health and Fitness,http://www.ajsportscentre.com.au,43 Endiandra St,ALGESTER,4115,(07) 3273 2978,-27.617841,153.033525
Aboriginal Centre for the Performing Arts,Theatre and Arts,http://www.acpa.edu.au/,U 1 27 Cordelia St,SOUTH BRISBANE,4101,(07) 3846 7211,-27.475177,153.014868
Active Health Club - Edge Hill,Health and Fitness,http://www.activehealthclubs.com.au,159 Pease St,EDGE HILL,4870,(07) 4053 8600,-16.91182,145.740478
Active Living The Wellness Company,Sport and Recreation,(blank),1/34 Sixth Avenue,MAROOCHYDORE,4557,(07) 5479 1212,-26.656842,153.101419
Agility Physiotherapy and Pilates,Health and Fitness,http://www.agilityphysiotherapy.com.au/,33 Collingwood St,ALBION,4010,(07) 3862 2322,-27.432473,153.043367
Agility Physiotherapy and Pilates,Health and Fitness,http://www.agilityphysiotherapy.com.au/cms,130 Quay St,BULIMBA,4171,(07) 3399 2244,-27.444893,153.050901
Albany Creek Leisure Centre,Health and Fitness,http://www.albanycreeklc.com.au,Cnr Old Northern Rd/Explorer Dr,ALBANY CREEK,4035,(07) 3264 9900,-27.351698,152.966499
All in One Fitness Centre,Health and Fitness,http://www.allinonefitnesscentre.com.au ,62 Simpson Street,BEERWAH,4550,(07) 5439 0949,-26.85798,152.957298
Allan Border Field,Sport and Recreation,http://www.qldcricket.com.au ,1 Greg Chappell St,ALBION,4010,(07) 3292 3100,-27.435741,153.043924
Alpha Show,Festivals and Shows,(blank),Clermont Rd,ALPHA,4724,0429 853 418,-23.645323,146.637593
Alpha Swimming Pool,Health and Fitness,http://www.barcaldinerc.qld.gov.au,Dryden Street,ALPHA,4724,(07) 4651 5600,-23.650436,146.631742
Alpha Town Hall,Sport and Recreation,http://www.barcaldinerc.qld.gov.au,Tennyson Street,ALPHA,4724,(07) 4651 5600,-23.652458,146.640034
AMF Bowling Cannon Hill,Sport and Recreation,http://www.amfbowling.com.au,31 Proprietary St,TINGALPA,4173,1300 368 067,-27.472095,153.107962
AMF Bowling Capalaba,Sport and Recreation,http://www.amfbowling.com.au,9 Currumbin Ct,CAPALABA,4157,1300 368 067,-27.53346,153.206501
AMF Bowling Kedron,Sport and Recreation,http://www.amfbowling.com.au,278 Gympie Rd,KEDRON,4031,1300 368 067,-27.407159,153.031826
AMF Bowling Loganholme,Sport and Recreation,http://www.amfbowling.com.au,Logan Hyperdome Shopping Centre,LOGANHOLME,4129,1300 368 067,-27.684225,153.179625
